Desagregaciones (Provincia),Descripcion,ene.-09,feb.-09,mar.-09,abr.-09,may.-09,jun.-09,jul.-09,ago.-09,sep.-09,oct.-09,nov.-09,dic.-09,ene.-10,feb.-10,mar.-10,abr.-10,may.-10,jun.-10,jul.-10,ago.-10,sep.-10,oct.-10,nov.-10,dic.-10,ene.-11,feb.-11,mar.-11,abr.-11,may.-11,jun.-11,jul.-11,ago.-11,sep.-11,oct.-11,nov.-11,dic.-11,ene.-12,feb.-12,mar.-12,abr.-12,may.-12,jun.-12,jul.-12,ago.-12,sep.-12,oct.-12,nov.-12,dic.-12,ene.-13,feb.-13,mar.-13,abr.-13,may.-13,jun.-13,jul.-13,ago.-13,sep.-13,oct.-13,nov.-13,dic.-13,ene.-14,feb.-14,mar.-14,abr.-14,may.-14,jun.-14,jul.-14,ago.-14,sep.-14,oct.-14,nov.-14,dic.-14,ene.-15,feb.-15,mar.-15,abr.-15,may.-15,jun.-15,jul.-15,ago.-15,sep.-15,oct.-15,nov.-15,dic.-15,ene.-16,feb.-16,mar.-16,abr.-16,may.-16,jun.-16,jul.-16,ago.-16,sep.-16,oct.-16,nov.-16,dic.-16,ene.-17,feb.-17,mar.-17,abr.-17,may.-17,jun.-17,jul.-17,ago.-17,sep.-17,oct.-17,nov.-17,dic.-17,ene.-18,feb.-18,mar.-18,abr.-18,may.-18,jun.-18,jul.-18,ago.-18,sep.-18,oct.-18,nov.-18,dic.-18,ene.-19,feb.-19,mar.-19,abr.-19,may.-19,jun.-19,jul.-19,ago.-19,sep.-19,oct.-19,nov.-19,dic.-19,ene.-20,feb.-20,mar.-20,abr.-20,may.-20,jun.-20,jul.-20,ago.-20,sep.-20,oct.-20,nov.-20,dic.-20,ene.-21,feb.-21,mar.-21,abr.-21,may.-21,jun.-21,jul.-21,ago.-21,sep.-21,oct.-21,nov.-21,dic.-21,ene.-22,feb.-22,mar.-22,abr.-22,may.-22,jun.-22,jul.-22,ago.-22,sep.-22
01,Azuay,73294,74920,75246,75639,76249,76349,76733,76834,78385,79162,79695,80393,81273,79488,80742,81854,83136,84440,85033,85757,87786,89238,90311,90567,91786,92752,93879,95466,98492,101471,103455,104943,107201,108659,109996,110438,112330,112230,113628,114729,116232,116908,117625,118194,119050,120028,121311,120855,127479,127069,128322,129366,129911,130469,131000,131176,131948,132943,133323,133426,134237,133178,133665,134485,135209,134715,134703,135501,137252,138409,139066,138447,138933,138390,139425,139338,139699,139842,139938,139758,140384,139903,139086,137489,138126,137552,136826,135789,135403,134976,134608,133979,134391,134363,134355,133473,132817,131707,132333,132207,131798,131475,131776,131948,132643,133245,134073,133782,133908,133426,134599,135093,135310,135801,136446,136771,137903,138447,138351,137398,137218,136684,136863,137578,137740,137198,137427,137031,137814,137491,137455,136605,136982,136188,135184,128989,121563,117839,117141,117393,118924,120394,121991,122656,123077,123411,124593,125721,126211,126907,127396,127940,128814,129735,130223,130328,132804,132987,134215,134677,135511,135304,135536,136135,136575
02,Bolívar,2009,1831,1853,1847,1858,1875,1891,1928,1951,2005,2009,2075,2117,2109,2190,2310,2456,2630,2722,2798,2957,3023,3128,3203,3364,3598,3750,4008,4238,4602,4694,4904,5060,5175,5275,5230,5294,5258,5342,5339,5493,5577,5641,5724,5824,5906,6025,6035,6150,6107,6174,6311,6299,6377,6628,6691,6761,6743,6803,6725,6583,6552,6481,6406,6396,6470,6458,6528,6535,6671,6874,6815,6714,6608,6579,6483,6492,6643,6635,6646,6622,6668,6568,6486,6293,6225,6151,6100,6133,6068,5951,5906,5928,5912,5902,5851,5897,5913,5958,6055,6055,6048,6028,5996,5947,6032,5996,6028,6108,6200,6441,6526,6490,6494,6451,6542,6450,6528,6616,6573,6383,6202,6295,6477,6374,6370,6359,6358,6324,6277,6450,6323,6120,6129,6181,5983,5945,5914,6051,6087,6162,6130,6057,5958,6000,6082,6134,6129,6238,6305,6328,6301,6253,6237,6183,6132,6115,5979,5945,5966,6268,6182,6307,6218,6222
03,Cañar,6399,6500,6616,6684,6812,6941,7691,7775,8071,8268,8350,7958,7890,7929,8074,8263,8405,8686,9387,9561,9746,10070,10290,10503,10335,10432,10614,10940,11379,11755,12541,12686,12895,13011,13080,13094,12600,12509,12631,12746,12816,13024,13544,13669,13750,14039,13905,13838,13952,13476,13548,13672,13871,14041,14980,15160,15272,15454,15572,15391,14821,14836,14887,14790,14796,14987,15432,15417,13888,14104,14131,14061,17782,16713,16773,16751,16709,16628,17966,18192,18353,18337,18117,17927,17594,16344,16380,16255,16189,17001,17065,17115,17165,17229,17123,16979,15958,15768,15887,15807,15977,16025,17041,17108,17266,17336,17422,17490,16497,16097,16232,16218,16349,16644,17719,17971,17950,17977,18004,17938,16993,16688,16608,16725,16752,16632,17543,17370,17478,17526,17572,17527,17564,16677,16411,15656,15232,15832,16375,16252,16197,16251,16158,16103,15408,15387,15386,15153,15353,15659,16398,16506,16725,16826,16843,16763,15976,15934,16087,15879,15971,16470,16833,16945,17127
04,Carchi,4122,4204,4270,4310,4322,4393,4410,4477,4583,4564,4583,4570,4708,4754,4825,4937,5032,5112,5247,5314,5425,5463,5570,5605,5878,5999,6073,6180,6402,6511,6614,6733,6879,6929,6919,6904,7058,7131,7271,7248,7412,7550,7626,7686,7821,7889,8023,8106,8328,8321,8397,8409,8464,8545,8661,8790,8831,8902,8949,9007,9073,9094,9132,9095,9094,9170,9205,9255,9370,9467,9577,9493,9311,9322,9321,9286,9269,9318,9344,9202,9197,9117,9067,8962,8926,8925,8841,8819,8716,8818,8729,8687,8667,8628,8631,8621,8685,8678,8517,8518,8620,8656,8680,8923,8954,8987,9115,9068,9117,9108,9133,9337,9352,9139,9174,9149,9149,9168,9072,9045,9133,9210,9201,9120,9132,9151,9243,9191,9152,9068,9054,9262,9290,9237,9061,8550,8194,7995,8027,8088,8265,8332,8323,8320,8194,8111,8132,8211,8260,8313,8406,8405,8496,8574,8596,8628,8830,8740,8811,8863,8886,8941,9003,8991,9117
05,Cotopaxi,15749,15645,15360,15303,15380,15496,15663,15781,16176,16146,16338,16465,16922,16948,16770,16966,17269,17541,17766,17918,18168,18395,18655,18941,20542,21020,21137,21688,22486,23467,24269,24691,25177,25242,25550,25582,26829,26523,26188,26409,26907,27312,27572,27856,28182,28392,28683,28913,30539,30223,29894,30297,30470,31053,31716,32270,32655,32912,32997,32978,34757,34439,33797,33661,33619,33523,33384,33622,34119,34389,34734,34757,34429,34041,33833,33696,33561,33597,33827,33689,33528,33361,33300,33116,33112,32646,32145,32042,32011,31880,31693,31683,31632,31872,31865,31699,32138,32039,31884,31864,32250,32360,32279,32191,32397,32500,32662,33021,34908,34810,34700,35249,35321,35418,35530,35497,35827,35917,36304,36242,37119,36712,36718,36582,36536,36171,36044,35779,35844,35444,35482,35397,37439,37122,36186,34207,33225,32875,32880,32829,32991,33280,33268,33361,32649,32504,32570,32898,32998,33058,33055,33206,32914,33160,33434,33302,34696,34764,34357,34661,34752,34051,34161,34200,34340
06,Chimborazo,14106,14198,14414,14447,14402,14284,14157,14301,14607,14686,14994,14973,15437,15516,15711,15881,16107,16335,16461,16704,17399,17671,17858,18043,18729,19290,19476,19802,20642,21174,21296,21697,22464,22765,22998,23381,24202,24376,24489,24227,24511,24759,24919,25038,25400,25707,25714,25674,26480,26548,26821,26983,27255,27214,27195,27496,27630,27715,27761,27848,28074,28112,27638,27719,27681,27692,27314,27362,27869,27958,28249,28222,27959,27736,27686,27522,27727,27895,27692,27486,27850,27679,27450,27231,26794,26671,26759,26756,26685,26719,26360,26296,26679,26696,26559,26247,26014,26129,26229,25957,26103,26189,26311,26495,26929,26868,26903,26949,27611,27443,27667,27790,27779,27755,27643,27609,28308,28302,28376,28216,28637,28417,28366,28535,28629,28555,28287,28242,28549,28353,28247,27889,27995,27579,27467,26308,25161,24888,24629,24278,24795,25271,25208,25036,24782,24785,24762,25011,25216,25279,25163,25094,25549,25698,25547,25499,25534,25656,25987,26225,26349,26304,26312,26555,26786
07,El Oro,30156,29891,30340,31024,31588,32123,33255,33899,34817,35366,35674,36012,36517,36857,37586,38728,39628,40461,41093,41309,41853,42851,43782,44194,44723,45998,47020,48740,51303,53475,55080,56325,57371,58351,58891,59432,60630,60670,61488,62197,63102,63462,64511,65383,65948,66916,67672,67437,65123,65302,65993,66711,67186,67835,68619,69258,69450,70023,70526,70342,72174,72154,72336,72942,73889,74260,74875,76412,77578,78483,78877,78707,80449,80228,81150,81387,81997,81870,81633,81543,81892,81859,81492,80580,79726,78983,79389,79431,79797,79578,79624,80160,80162,80278,80482,80223,81075,80642,81558,81094,81623,82062,82136,82364,82586,83025,82920,82430,82647,82679,83224,83998,84671,84999,85443,85597,85636,86051,86004,85550,85598,85526,85804,86423,86528,86445,86574,86897,87206,87326,87396,86959,87749,87257,86870,84476,81981,80916,80212,79689,79915,80158,80557,80173,76538,76735,77271,77715,78544,79350,79552,80368,80803,81071,81707,81449,83912,83754,84256,84139,84517,84381,83967,84063,83997
08,Esmeraldas,10808,10749,10451,10697,10785,10864,10953,10977,11216,11318,11409,11401,11735,11750,11828,11971,12164,12442,12720,12969,13136,13495,13746,13569,13683,13916,14440,14982,15633,16300,16838,17266,17565,17960,18222,18152,18496,18218,18454,18913,19628,20055,20327,20038,20257,20333,20363,20408,20633,20770,21010,21248,21704,21959,22101,22145,22126,22319,22373,22570,22374,22595,22245,22198,22658,22780,23272,23939,23804,24088,24474,24286,23999,23938,23698,23338,23617,23658,23670,23766,23519,23178,22941,22672,23915,23410,22925,22906,22782,22586,22428,22173,22035,21866,21576,21331,21171,21210,21115,21046,21273,21264,21010,20867,20761,20835,20718,20568,20731,21080,21345,21600,21672,21230,21161,21209,21065,21170,21125,20982,21038,20988,20894,20862,20836,20775,20643,20206,20430,20570,20337,20130,19678,19615,19429,18564,18001,17554,17529,17604,17836,18209,17990,17585,16889,17237,17357,16998,17316,17448,17314,17396,17462,17524,17496,17445,17560,17751,17582,17494,17689,17558,17455,17424,17368
09,Guayas,425897,418012,420511,423533,423901,428940,436164,439902,448129,453554,457882,454774,454272,449672,456828,462483,468134,476464,480894,488992,497080,506444,511625,512550,511974,512508,522576,535901,553003,566774,578400,589893,595033,604562,612332,611955,612599,605576,610959,617631,624936,628315,635449,640492,644642,653522,659039,655844,655702,651317,655481,659515,663129,667170,672908,678772,683922,690304,695927,691013,691473,688159,689855,692341,696514,699501,702489,710478,719395,723253,724140,718361,709442,702602,705929,704997,706981,707258,708462,706795,707417,708045,705397,696337,685200,675892,674569,671359,670247,668480,667532,668425,670325,671773,670510,665153,661579,653995,657591,655249,658477,658936,662780,666077,668934,673185,673670,670505,670019,663923,666036,668664,670999,673346,677251,682256,683284,688036,688889,684390,682097,676391,676435,680414,682291,684474,691267,694110,696673,696426,698425,693504,692859,685762,680301,654780,636599,631255,629682,629492,633959,641769,643954,642899,634257,633755,640342,641603,647192,653234,656396,660489,667091,672421,675966,673488,680473,678336,683562,685209,693099,698387,700557,705635,709165
10,Imbabura,22292,21980,21879,22327,22112,22076,22402,22466,22668,22841,22859,23012,24037,23831,23980,24541,24779,25011,25307,25589,26432,26912,27292,27665,28672,29120,29110,29889,30859,31432,31794,32299,32967,33640,34078,34333,35660,35854,36189,36979,36906,36915,37043,37154,37350,37550,37816,37901,38780,38721,39072,38719,38855,39133,39621,39620,40164,40616,40717,40572,41584,41439,41161,41263,41070,41418,41537,41840,42173,42325,42642,42469,43098,42845,42444,42856,42941,42458,41907,41653,41674,41761,41572,41292,42440,41383,40758,40753,40245,39532,39243,39246,39402,39430,39311,39439,40991,40929,40311,40268,40239,40013,40314,40425,40780,41201,41463,41185,42993,42866,42529,43266,43305,42855,42570,43895,44112,44297,44455,44894,45650,44885,43797,44809,44435,43904,43973,43756,43832,43621,43988,44046,45304,45370,44178,41744,38633,37061,36536,36158,36281,36625,36779,37380,37781,37228,36557,37678,37808,37439,37719,38066,38354,38891,39171,39709,41000,39867,39980,41041,40908,40035,40219,40001,40209
