DFC_ANIO_PK;DFC_DESCRIPCION_MES;CODIGO_OPERA_FAMILIA;DESCRIPCION_FAMILIA;DESCRIPCION_PROVINCIA;TOTAL
2019;06 Junio;V;SIN ACTIVIDAD ECONOMICA - CIIU;AZUAY;302
2019;06 Junio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";AZUAY;1211
2019;06 Junio;P;ENSEÑANZA.;PICHINCHA;586
2019;08 Agosto;P;ENSEÑANZA.;AZUAY;29
2019;06 Junio;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;AZUAY;291
2019;09 Septiembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;AZUAY;86
2019;06 Junio;C;INDUSTRIAS MANUFACTURERAS.;AZUAY;377
2019;02 Febrero;S;OTRAS ACTIVIDADES DE SERVICIOS.;AZUAY;205
2019;04 Abril;L;ACTIVIDADES INMOBILIARIAS.;AZUAY;67
2019;06 Junio;O;"ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.";AZUAY;21
2019;08 Agosto;L;ACTIVIDADES INMOBILIARIAS.;AZUAY;49
2019;06 Junio;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;ORELLANA;11
2019;10 Octubre;H;TRANSPORTE Y ALMACENAMIENTO.;AZUAY;26
2019;04 Abril;S;OTRAS ACTIVIDADES DE SERVICIOS.;AZUAY;391
2019;11 Noviembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;AZUAY;182
2019;06 Junio;L;ACTIVIDADES INMOBILIARIAS.;MORONA SANTIAGO;58
2019;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;LOJA;1174
2019;06 Junio;L;ACTIVIDADES INMOBILIARIAS.;NAPO;33
2019;06 Junio;L;ACTIVIDADES INMOBILIARIAS.;GUAYAS;1297
2019;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CHIMBORAZO;685
2019;06 Junio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;EL ORO;260
2019;06 Junio;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;EL ORO;30
2019;06 Junio;C;INDUSTRIAS MANUFACTURERAS.;GUAYAS;2052
2019;06 Junio;L;ACTIVIDADES INMOBILIARIAS.;CHIMBORAZO;137
2019;06 Junio;H;TRANSPORTE Y ALMACENAMIENTO.;EL ORO;341
2019;11 Noviembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;TUNGURAHUA;50
2019;07 Julio;H;TRANSPORTE Y ALMACENAMIENTO.;PICHINCHA;708
2019;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;AZUAY;64
2019;02 Febrero;P;ENSEÑANZA.;AZUAY;37
2019;06 Junio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;SUCUMBIOS;86
2019;12 Diciembre;H;TRANSPORTE Y ALMACENAMIENTO.;AZUAY;33
2019;05 Mayo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;AZUAY;84
2019;06 Junio;V;SIN ACTIVIDAD ECONOMICA - CIIU;EL ORO;334
2019;11 Noviembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;GUAYAS;295
2019;11 Noviembre;C;INDUSTRIAS MANUFACTURERAS.;EL ORO;62
2019;04 Abril;C;INDUSTRIAS MANUFACTURERAS.;AZUAY;187
2019;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;AZUAY;98
2019;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;EL ORO;569
2019;07 Julio;P;ENSEÑANZA.;AZUAY;48
2019;06 Junio;H;TRANSPORTE Y ALMACENAMIENTO.;CAÑAR;136
2019;10 Octubre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;MORONA SANTIAGO;26
