DFC_ANIO_PK|DFC_DESCRIPCION_MES|CODIGO_OPERA_FAMILIA|DESCRIPCION_FAMILIA|DESCRIPCION_PROVINCIA|TOTAL
2022|03 Marzo|N|ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.|GUAYAS|575
2022|12 Diciembre|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|SANTO DOMINGO DE LOS TSACHILAS|165
2022|11 Noviembre|S|OTRAS ACTIVIDADES DE SERVICIOS.|PICHINCHA|1343
2022|06 Junio|S|OTRAS ACTIVIDADES DE SERVICIOS.|IMBABURA|70
2022|10 Octubre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|MANABI|1440
2022|09 Septiembre|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|PICHINCHA|745
2022|05 Mayo|N|ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.|GUAYAS|103
2022|06 Junio|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|LOS RIOS|184
2022|10 Octubre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|COTOPAXI|270
2022|01 Enero|C|INDUSTRIAS MANUFACTURERAS.|PICHINCHA|429
2022|08 Agosto|S|OTRAS ACTIVIDADES DE SERVICIOS.|PICHINCHA|1190
2022|03 Marzo|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|LOS RIOS|977
2022|03 Marzo|H|TRANSPORTE Y ALMACENAMIENTO.|PICHINCHA|1340
2022|01 Enero|P|ENSEÑANZA.|PICHINCHA|292
2022|05 Mayo|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|MANABI|406
2022|03 Marzo|P|ENSEÑANZA.|PICHINCHA|461
2022|11 Noviembre|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|CAÑAR|110
2022|12 Diciembre|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|GUAYAS|564
2022|12 Diciembre|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|COTOPAXI|80
2022|12 Diciembre|I|ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.|AZUAY|61
2022|01 Enero|L|ACTIVIDADES INMOBILIARIAS.|GUAYAS|175
2022|02 Febrero|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|LOS RIOS|76
2022|12 Diciembre|J|INFORMACIÓN Y COMUNICACIÓN.|PICHINCHA|47
2022|08 Agosto|H|TRANSPORTE Y ALMACENAMIENTO.|GUAYAS|287
2022|08 Agosto|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|PICHINCHA|153
2022|07 Julio|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|LOJA|147
