DFC_ANIO_PK;DFC_DESCRIPCION_MES;CODIGO_OPERA_FAMILIA;DESCRIPCION_FAMILIA;DESCRIPCION_PROVINCIA;COUNT(O667410.NUMERO_RUC)
2019;12 Diciembre;H;TRANSPORTE Y ALMACENAMIENTO.;AZUAY;23
2019;11 Noviembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;AZUAY;283
2019;04 Abril;C;INDUSTRIAS MANUFACTURERAS.;AZUAY;143
2019;05 Mayo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;AZUAY;100
2019;04 Abril;S;OTRAS ACTIVIDADES DE SERVICIOS.;AZUAY;437
2019;10 Octubre;H;TRANSPORTE Y ALMACENAMIENTO.;AZUAY;23
2019;07 Julio;P;ENSEÑANZA.;AZUAY;18
2019;08 Agosto;L;ACTIVIDADES INMOBILIARIAS.;AZUAY;26
2019;05 Mayo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;AZUAY;96
2019;05 Mayo;S;OTRAS ACTIVIDADES DE SERVICIOS.;AZUAY;266
2019;12 Diciembre;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;GUAYAS;152
2019;04 Abril;F;CONSTRUCCIÓN.;AZUAY;39
2019;04 Abril;L;ACTIVIDADES INMOBILIARIAS.;AZUAY;74
2019;02 Febrero;S;OTRAS ACTIVIDADES DE SERVICIOS.;AZUAY;366
2019;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;AZUAY;47
2019;04 Abril;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;MORONA SANTIAGO;34
2019;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;AZUAY;306
2019;09 Septiembre;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;AZUAY;105
2019;05 Mayo;C;INDUSTRIAS MANUFACTURERAS.;LOS RIOS;67
2019;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;GUAYAS;251
2019;04 Abril;V;SIN ACTIVIDAD ECONOMICA - CIIU;NAPO;754
2019;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;AZUAY;89
2019;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";SANTO DOMINGO DE LOS TSACHILAS;345
2019;05 Mayo;L;ACTIVIDADES INMOBILIARIAS.;MORONA SANTIAGO;3
2019;12 Diciembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";MANABI;458
2019;02 Febrero;L;ACTIVIDADES INMOBILIARIAS.;EL ORO;9
2019;04 Abril;V;SIN ACTIVIDAD ECONOMICA - CIIU;ORELLANA;1447
2019;08 Agosto;S;OTRAS ACTIVIDADES DE SERVICIOS.;EL ORO;246
2019;06 Junio;H;TRANSPORTE Y ALMACENAMIENTO.;EL ORO;40
2019;06 Junio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";AZUAY;283
2019;06 Junio;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;AZUAY;86
2019;10 Octubre;L;ACTIVIDADES INMOBILIARIAS.;GUAYAS;62
2019;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;COTOPAXI;528
2019;02 Febrero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;SUCUMBIOS;181
2019;02 Febrero;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOS RIOS;276
2019;02 Febrero;S;OTRAS ACTIVIDADES DE SERVICIOS.;SANTA ELENA;144
2019;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;CHIMBORAZO;589
2019;02 Febrero;H;TRANSPORTE Y ALMACENAMIENTO.;NAPO;7
2019;02 Febrero;P;ENSEÑANZA.;PASTAZA;2
