DFC_ANIO_PK|DFC_DESCRIPCION_MES|CODIGO_OPERA_FAMILIA|DESCRIPCION_FAMILIA|DESCRIPCION_PROVINCIA|TOTAL
2022|02 Febrero|S|OTRAS ACTIVIDADES DE SERVICIOS.|SANTO DOMINGO DE LOS TSACHILAS|187
2022|09 Septiembre|I|ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.|ZAMORA CHINCHIPE|16
2022|06 Junio|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|LOS RIOS|305
2022|02 Febrero|L|ACTIVIDADES INMOBILIARIAS.|TUNGURAHUA|18
2022|03 Marzo|N|ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.|PICHINCHA|139
2022|03 Marzo|S|OTRAS ACTIVIDADES DE SERVICIOS.|MANABI|305
2022|05 Mayo|R|ARTES, ENTRETENIMIENTO Y RECREACIÓN.|PICHINCHA|74
2022|05 Mayo|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|MANABI|613
2022|01 Enero|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|AZUAY|124
2022|05 Mayo|S|OTRAS ACTIVIDADES DE SERVICIOS.|COTOPAXI|122
2022|02 Febrero|S|OTRAS ACTIVIDADES DE SERVICIOS.|GUAYAS|845
2022|05 Mayo|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|GUAYAS|135
2022|02 Febrero|C|INDUSTRIAS MANUFACTURERAS.|MORONA SANTIAGO|5
2022|09 Septiembre|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|IMBABURA|72
2022|04 Abril|C|INDUSTRIAS MANUFACTURERAS.|PICHINCHA|256
2022|03 Marzo|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|GUAYAS|141
2022|03 Marzo|N|ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.|GUAYAS|196
2022|03 Marzo|P|ENSEÑANZA.|PICHINCHA|158
2022|03 Marzo|P|ENSEÑANZA.|TUNGURAHUA|18
2022|03 Marzo|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|ORELLANA|10
2022|08 Agosto|S|OTRAS ACTIVIDADES DE SERVICIOS.|GUAYAS|1348
2022|03 Marzo|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|PICHINCHA|211
2022|03 Marzo|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|LOS RIOS|320
2022|02 Febrero|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|LOS RIOS|527
2022|01 Enero|I|ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.|MANABI|121
2022|04 Abril|L|ACTIVIDADES INMOBILIARIAS.|LOJA|8
2022|04 Abril|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|IMBABURA|166
2022|04 Abril|C|INDUSTRIAS MANUFACTURERAS.|CAÑAR|10
2022|04 Abril|L|ACTIVIDADES INMOBILIARIAS.|GUAYAS|64
2022|04 Abril|N|ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.|SANTA ELENA|12
2022|04 Abril|P|ENSEÑANZA.|MANABI|56
2022|04 Abril|P|ENSEÑANZA.|TUNGURAHUA|16
2022|04 Abril|S|OTRAS ACTIVIDADES DE SERVICIOS.|CHIMBORAZO|96
2022|06 Junio|S|OTRAS ACTIVIDADES DE SERVICIOS.|IMBABURA|117
2022|04 Abril|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|BOLIVAR|58
2022|04 Abril|P|ENSEÑANZA.|GUAYAS|146
2022|04 Abril|I|ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.|LOS RIOS|52
2022|04 Abril|J|INFORMACIÓN Y COMUNICACIÓN.|COTOPAXI|4
2022|04 Abril|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|LOJA|19
2022|04 Abril|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|EL ORO|43
2022|04 Abril|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|CARCHI|23
2022|04 Abril|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|TUNGURAHUA|34
2022|03 Marzo|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|BOLIVAR|9
2022|08 Agosto|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|GUAYAS|2231
2022|04 Abril|P|ENSEÑANZA.|PASTAZA|2
2022|04 Abril|C|INDUSTRIAS MANUFACTURERAS.|NAPO|6
2022|04 Abril|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|EL ORO|20
2022|04 Abril|F|CONSTRUCCIÓN.|SANTA ELENA|10
2022|04 Abril|N|ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.|SANTO DOMINGO DE LOS TSACHILAS|11
2022|06 Junio|J|INFORMACIÓN Y COMUNICACIÓN.|AZUAY|10
